name,статус,причина,пар_ss,пар_base,пар_xdate,пар_карантин,вердикт_аудита,km2,res,bands,crs,lon,lat
3e09b164-73b2-4ddc-967c-b5688934307a,использован частично,подложка: узлов привязки 1 меньше 5,2,0,0,0,,1.055,0.06,3,"PROJCS[""unnamed"",GEOGCS[""unnamed ellipse"",DATUM[""unknown"",SPHEROID[""unnamed"",6378137,0]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Mercator_2SP""],PARAMETER[""standard_parallel_1"",0],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",,
40e1a7dd-7f1b-42ef-ab98-3907670782d9,использован частично,подложка: узлов привязки 3 меньше 5,4,0,0,0,,1.568,0.0873,3,EPSG:32635,,
4194d913-2db3-428e-8c1f-cd0954c73c74,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
4543a14c-2c46-4eb8-9769-01890133c064,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
459114e1-50df-4866-ba4c-082a68ddc26c,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
5097fd96-0000-470d-9761-0e8ac89eb82c,использован полностью,,3,6,0,0,разметка подтверждена,1.384,0.031,3,EPSG:32619,,
5416713a-f8a2-4f7b-83ef-55443904041a,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
54a58887-1e69-47fc-9d94-3cb58f500101,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
578529b92b67227a79b4fbff,не годен по паспорту,разрешение 0.15 м/пкс грубее 0.1,0,0,0,0,,79.943,0.1524,3,EPSG:26911,,
587ffba8-bf97-4f31-807e-d223dcc1fdba,использован частично,подложка: узлов привязки 1 меньше 5,5,0,0,0,,2.445,0.05,3,EPSG:3857,,
5abae68e65bd8f00110f3e43,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
5acf156291b5310010e0d4e6,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
5ad7a59991b5310010e0d54c,использован полностью,,4,8,0,0,разметка подтверждена,2.498,0.05,3,EPSG:3857,,
5ad7a59991b5310010e0d54d,использован частично,подложка: узлов привязки 2 меньше 5,2,0,0,0,,0.913,0.0373,3,EPSG:3857,,
5ad9a5f491b5310010e0d562,использован полностью,,4,8,0,0,разметка подтверждена,3.159,0.05,3,EPSG:3857,,
5af5e4652b6a08001185f095,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
5af5f1792b6a08001185f0a0,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
5af632b02b6a08001185f0a8,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
5af6420c2b6a08001185f0ac,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
5af788b82b6a08001185f0b7,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
5af870e62b6a08001185f0bb,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
5af9fd2e2b6a08001185f0c8,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
5afcadc12b6a08001185f0f2,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
5b035c282b6a08001185f16c,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
5b0526dd2b6a08001185f183,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
